Envelope_ID;Flank;Holes;Larvae;presence_indirect;area_fruit;num_seeds;mean_area_seeds;Threshold
4;magenta;0;0;0;1.310;322;0.007;0.005
4;magenta;1;1;1;1.382;76;0.007;0.005
5;magenta;0;0;0;0.942;225;0.010;0.005
5;magenta;1;0;0;1.077;452;0.011;0.005
6;magenta;0;0;0;1.452;762;0.005;0.003
6;magenta;1;1;1;1.116;456;0.008;0.005
7;magenta;0;0;0;1.044;364;0.013;0.005
7;magenta;1;0;1;1.234;493;0.009;0.005
8;magenta;0;0;0;1.232;190;0.007;0.003
8;magenta;1;1;1;1.418;303;0.006;0.003
10;magenta;0;0;0;1.563;466;0.006;0.003
10;magenta;1;1;1;1.231;451;0.007;0.003
11;magenta;0;0;0;1.459;723;0.009;0.005
11;magenta;1;1;1;1.181;394;0.009;0.005
12;magenta;0;0;0;1.363;377;0.012;0.005
12;magenta;1;0;1;1.130;569;0.010;0.005
13;magenta;0;0;0;1.266;826;0.013;0.005
13;magenta;1;0;0;1.595;773;0.010;0.005
15;magenta;0;0;0;0.670;28;NA;NA
15;magenta;1;1;1;0.885;136;0.009;0.005
16;magenta;0;0;0;1.198;653;0.008;0.005
16;magenta;1;1;1;1.158;476;0.009;0.005
19;magenta;0;0;0;0.888;305;0.011;0.005
19;magenta;1;1;1;1.244;604;0.008;0.005
20;magenta;0;0;0;0.997;459;0.011;0.005
20;magenta;1;1;1;0.959;283;0.010;0.005
23;magenta;0;0;0;1.269;302;0.007;0.003
23;magenta;1;0;0;1.035;199;0.007;0.003
24;magenta;0;0;0;1.224;629;0.010;0.005
24;magenta;1;1;1;1.393;244;0.007;0.005
26;magenta;0;0;0;0.935;210;0.009;0.005
26;magenta;1;1;1;0.868;74;0.009;0.005
27;magenta;0;0;0;0.976;405;0.005;0.003
27;magenta;1;1;1;1.033;290;0.006;0.003
28;magenta;0;0;0;1.077;788;0.010;0.005
28;magenta;1;1;1;0.951;557;0.009;0.005
29;magenta;0;0;0;1.292;261;0.009;0.005
29;magenta;1;0;0;1.364;554;0.010;0.005
32;magenta;0;0;0;0.748;227;0.007;0.003
32;magenta;1;0;0;0.993;461;0.006;0.003
34;magenta;0;0;0;1.344;724;0.007;0.003
34;magenta;1;1;1;1.339;553;0.006;0.003
35;magenta;0;0;0;1.338;465;0.006;0.003
35;magenta;1;0;0;0.741;236;0.005;0.003
36;magenta;0;0;0;0.650;70;0.008;0.005
36;magenta;1;1;1;0.578;0;NA;0.005
41;yellow;0;0;0;1.109;516;0.011;0.005
41;yellow;1;1;1;1.230;391;0.005;0.003
42;yellow;0;0;0;1.422;790;0.005;0.003
42;yellow;1;1;1;1.227;530;0.004;0.003
44;yellow;0;0;0;1.591;822;0.009;0.005
44;yellow;1;1;1;1.456;393;0.009;0.005
45;yellow;0;0;0;1.147;482;0.006;0.003
45;yellow;1;1;1;0.637;124;0.009;0.005
46;yellow;0;0;0;1.220;715;0.011;0.005
46;yellow;1;1;1;1.166;400;0.005;0.003
47;yellow;0;0;0;0.770;364;0.005;0.003
47;yellow;1;1;1;0.753;61;0.004;0.003
48;yellow;0;0;0;1.401;629;0.010;0.005
48;yellow;1;1;1;1.355;336;0.005;0.003
49;yellow;0;0;0;0.823;512;0.008;0.005
49;yellow;1;1;1;1.082;460;0.011;0.005
50;yellow;0;0;0;1.114;818;0.006;0.003
50;yellow;1;1;1;0.921;357;0.005;0.003
53;yellow;0;0;0;0.918;630;0.008;0.005
53;yellow;1;1;1;1.025;594;0.010;0.005
54;yellow;0;0;0;0.690;192;0.011;0.005
54;yellow;1;0;0;1.004;415;0.010;0.005
55;yellow;0;0;0;1.127;831;0.006;0.003
55;yellow;1;0;1;0.949;309;0.006;0.003
56;yellow;0;0;0;1.368;702;0.014;0.005
56;yellow;1;0;0;1.494;713;0.008;0.005
58;yellow;0;0;0;1.137;667;0.011;0.005
58;yellow;1;1;1;0.857;508;0.010;0.005
59;yellow;0;0;0;1.074;586;0.009;0.005
59;yellow;1;1;1;0.981;285;0.005;0.003
60;yellow;0;0;0;1.327;349;0.007;0.003
60;yellow;1;1;1;1.403;210;0.006;0.003
62;yellow;0;0;0;1.233;726;0.005;0.003
62;yellow;1;2;1;0.893;339;0.004;0.003
63;yellow;0;0;0;0.927;350;0.005;0.003
63;yellow;1;1;1;1.117;334;0.005;0.003
64;yellow;0;0;0;1.007;635;0.005;0.003
64;yellow;1;0;0;1.028;506;0.006;0.003
65;yellow;0;0;0;1.146;441;0.006;0.003
65;yellow;1;1;1;1.148;288;0.007;0.003
66;yellow;0;0;0;1.585;708;0.006;0.003
66;yellow;1;1;1;1.205;254;0.006;0.003
67;yellow;0;0;0;0.875;347;0.008;0.005
67;yellow;1;2;1;1.060;280;0.009;0.005
69;yellow;0;0;0;0.980;543;0.005;0.003
69;yellow;1;1;1;1.029;493;0.005;0.003
71;yellow;0;0;0;1.242;775;0.006;0.003
71;yellow;1;1;1;1.124;205;0.005;0.003
72;yellow;0;0;0;1.029;442;0.005;0.003
72;yellow;1;2;1;1.365;617;0.005;0.003
73;yellow;0;0;0;1.523;877;0.007;0.003
73;yellow;1;1;1;1.607;824;0.006;0.003
74;yellow;0;0;0;1.067;477;0.006;0.003
74;yellow;1;0;0;0.987;483;0.007;0.003
75;yellow;0;0;0;1.173;510;0.006;0.003
75;yellow;1;0;0;1.460;789;0.006;0.003
78;yellow;0;0;0;0.978;470;0.008;0.005
78;yellow;1;1;1;0.833;220;0.005;0.003
80;yellow;0;0;0;1.358;253;0.008;0.005
80;yellow;1;1;1;1.482;260;0.007;0.003
82;yellow;0;0;0;1.444;756;0.007;0.003
82;yellow;1;2;1;1.345;611;0.006;0.003
